direction,speed,created_at
22,1,2024-11-15 15:22:32 UTC
270,2,2024-11-15 15:22:39 UTC
67,4,2024-11-15 15:22:45 UTC
22,6,2024-11-15 15:22:51 UTC
337,4,2024-11-15 15:22:57 UTC
0,4,2024-11-15 15:23:04 UTC
337,4,2024-11-15 15:23:10 UTC
315,3,2024-11-15 15:23:16 UTC
0,1,2024-11-15 15:23:22 UTC
292,4,2024-11-15 15:23:28 UTC
270,1,2024-11-15 15:23:35 UTC
270,0,2024-11-15 15:23:41 UTC
270,1,2024-11-15 15:23:47 UTC
292,0,2024-11-15 15:23:54 UTC
67,3,2024-11-15 15:24:00 UTC
112,3,2024-11-15 15:24:06 UTC
247,4,2024-11-15 15:24:12 UTC
157,4,2024-11-15 15:24:18 UTC
67,4,2024-11-15 15:24:25 UTC
112,3,2024-11-15 15:24:31 UTC
112,3,2024-11-15 15:24:37 UTC
0,3,2024-11-15 15:24:43 UTC
337,1,2024-11-15 15:24:50 UTC
270,1,2024-11-15 15:24:56 UTC
270,7,2024-11-15 15:25:02 UTC
270,8,2024-11-15 15:25:08 UTC
270,1,2024-11-15 15:25:15 UTC
270,1,2024-11-15 15:25:23 UTC
247,2,2024-11-15 15:25:27 UTC
135,2,2024-11-15 15:25:33 UTC
157,6,2024-11-15 15:25:40 UTC
157,3,2024-11-15 15:25:46 UTC
202,3,2024-11-15 15:25:52 UTC
292,1,2024-11-15 15:25:58 UTC
270,3,2024-11-15 15:26:05 UTC
247,9,2024-11-15 15:26:11 UTC
180,9,2024-11-15 15:26:17 UTC
157,8,2024-11-15 15:26:23 UTC
22,6,2024-11-15 15:26:29 UTC
22,3,2024-11-15 15:26:36 UTC
292,3,2024-11-15 15:26:42 UTC
292,1,2024-11-15 15:26:48 UTC
22,2,2024-11-15 15:26:55 UTC
112,4,2024-11-15 15:27:01 UTC
112,7,2024-11-15 15:27:07 UTC
157,6,2024-11-15 15:27:13 UTC
112,7,2024-11-15 15:27:19 UTC
22,1,2024-11-15 15:27:26 UTC
22,1,2024-11-15 15:27:32 UTC
157,3,2024-11-15 15:27:38 UTC
157,3,2024-11-15 15:27:45 UTC
247,7,2024-11-15 15:27:51 UTC
247,9,2024-11-15 15:27:57 UTC
0,6,2024-11-15 15:28:03 UTC
157,4,2024-11-15 15:28:09 UTC
157,1,2024-11-15 15:28:16 UTC
202,4,2024-11-15 15:28:22 UTC
202,6,2024-11-15 15:28:28 UTC
247,9,2024-11-15 15:28:34 UTC
270,7,2024-11-15 15:28:41 UTC
157,3,2024-11-15 15:28:48 UTC
0,3,2024-11-15 15:28:54 UTC
67,3,2024-11-15 15:31:44 UTC
157,3,2024-11-15 15:31:44 UTC
157,3,2024-11-15 15:31:44 UTC
157,6,2024-11-15 15:31:44 UTC
247,2,2024-11-15 15:31:44 UTC
90,6,2024-11-15 15:31:44 UTC
112,4,2024-11-15 15:31:45 UTC
157,7,2024-11-15 15:31:45 UTC
157,2,2024-11-15 15:31:45 UTC
292,1,2024-11-15 15:31:45 UTC
270,3,2024-11-15 15:31:45 UTC
270,1,2024-11-15 15:31:45 UTC
247,0,2024-11-15 15:31:45 UTC
270,4,2024-11-15 15:40:52 UTC
270,7,2024-11-15 15:40:58 UTC
270,2,2024-11-15 15:41:04 UTC
270,0,2024-11-15 15:41:11 UTC
247,4,2024-11-15 15:41:17 UTC
270,4,2024-11-15 15:41:23 UTC
270,2,2024-11-15 15:41:29 UTC
0,2,2024-11-15 15:41:36 UTC
0,3,2024-11-15 15:41:42 UTC
157,4,2024-11-15 15:41:48 UTC
90,4,2024-11-15 15:41:55 UTC
90,4,2024-11-15 15:42:01 UTC
22,3,2024-11-15 15:42:07 UTC
112,0,2024-11-15 15:42:13 UTC
67,4,2024-11-15 15:42:36 UTC
247,4,2024-11-15 15:43:19 UTC
22,4,2024-11-15 15:43:19 UTC
22,6,2024-11-15 15:43:19 UTC
22,1,2024-11-15 15:43:19 UTC
292,4,2024-11-15 15:43:19 UTC
202,0,2024-11-15 15:43:19 UTC
292,4,2024-11-15 15:43:19 UTC
292,0,2024-11-15 15:43:19 UTC
292,1,2024-11-15 15:43:19 UTC
0,4,2024-11-15 15:43:22 UTC
90,7,2024-11-15 15:43:29 UTC
90,4,2024-11-15 15:43:35 UTC
0,1,2024-11-15 15:43:41 UTC
0,4,2024-11-15 15:43:47 UTC
292,0,2024-11-15 15:44:19 UTC
292,1,2024-11-15 15:44:19 UTC
292,3,2024-11-15 15:44:19 UTC
247,0,2024-11-15 15:44:19 UTC
270,0,2024-11-15 15:49:08 UTC
270,0,2024-11-15 15:49:14 UTC
292,4,2024-11-15 15:49:22 UTC
292,1,2024-11-15 15:49:31 UTC
292,4,2024-11-15 15:49:33 UTC
292,2,2024-11-15 15:49:39 UTC
292,1,2024-11-15 15:49:45 UTC
292,3,2024-11-15 15:49:53 UTC
157,4,2024-11-15 15:49:57 UTC
22,3,2024-11-15 15:50:09 UTC
22,3,2024-11-15 15:50:10 UTC
337,7,2024-11-15 15:50:19 UTC
315,7,2024-11-15 15:50:37 UTC
157,7,2024-11-15 15:50:43 UTC
247,15,2024-11-15 15:50:43 UTC
202,10,2024-11-15 15:50:43 UTC
157,8,2024-11-15 15:50:48 UTC
247,7,2024-11-15 15:50:59 UTC
247,18,2024-11-15 15:51:00 UTC
202,4,2024-11-15 15:55:11 UTC
270,3,2024-11-15 15:55:18 UTC
270,2,2024-11-15 15:55:32 UTC
270,1,2024-11-15 15:55:32 UTC
292,1,2024-11-15 15:55:36 UTC
22,3,2024-11-15 15:55:42 UTC
22,2,2024-11-15 15:55:49 UTC
22,1,2024-11-15 15:55:55 UTC
315,1,2024-11-15 15:56:01 UTC
292,1,2024-11-15 15:56:07 UTC
67,2,2024-11-15 15:56:28 UTC
135,2,2024-11-15 15:56:28 UTC
67,1,2024-11-15 15:56:28 UTC
180,4,2024-11-15 15:56:40 UTC
